living,non-living
บิดา,โรงพยาบาล
นักเขียน,หิน
นักวิชาการ,ปืน
ดอกไม้,โต๊ะ
สตรี,เสื้อผ้า
กรรมการ,อาวุธ
เสือ,รถไฟ
ลูกชาย,โรงแรม
นายกรัฐมนตรี,จดหมาย
คนงาน,เวที
เมีย,ข้อความ
ลูกค้า,คอมพิวเตอร์
ม้า,ไฟฟ้า
ลูกสาว,กล้อง
ป้า,ภาพยนตร์
แฟน,เพชร
ไก่,ธนาคาร
หลาน,บันได
พระเอก,วิทยุ
ปู,สระ
หมา,ขนม
เจ้านาย,กระเป๋า
วัยรุ่น,ตู้
ศาสตราจารย์,สะพาน
โจร,นิตยสาร
ธิดา,น้ำตาล
ลิง,ระเบิด
ผู้ป่วย,เหล้า
ผู้เขียน,ขวด
หมู,ทราย
นายจ้าง,บัตร
นักการเมือง,ท่อ
เกษตรกร,รองเท้า
ลูกหลาน,นาฬิกา
พ่อค้า,โน้ต
ผู้ปกครอง,ป้าย
ผู้บริโภค,เทียน
ฑูต,บ่อ
ประธานาธิบดี,หลังคา
ลูกจ้าง,กระจก
ดารา,ขยะ
ลุง,นม
วัว,เงา
ชาวนา,ข้าวสาร
นักท่องเที่ยว,กางเกง
ประชากร,ผา
คนไข้,แผนที่
ผู้บริหาร,ครัว
คนใช้,บ้านเรือน
ศิลปิน,เก้าอี้
ย่า,ผนัง
ชายหนุ่ม,ทีวี
กษัตริย์,ถ้วย
เศรษฐี,เทป
ผู้จัดการ,
บุคลากร,
ผู้เชี่ยวชาญ,
งู,
นางเอก,
เยาวชน,
ทาส,
นิสิต,
กุ้ง,
ผู้ชม,
ปู่,
เลขาธิการ,
