living,non-living
ทหาร,ภาพ
แม่,โลก
ญาติ,น้ำ
ผู้หญิง,บ้าน
ชาวบ้าน,หนังสือ
ภรรยา,อาหาร
เพื่อน,เงิน
นักเรียน,วัด
ครู,ดิน
มนุษย์,ทะเล
พ่อ,โรงเรียน
ประชาชน,รถ
สามี,ห้อง
พี่,ข้าว
ผู้ใหญ่,ทอง
ผู้คน,เรือ
อา,ไม้
สัตว์,ถนน
น้อง,มหาวิทยาลัย
ปลา,ความรู้มาตรา
อาจารย์,ร้าน
ผู้ชาย,หนัง
เจ้าหน้าที่,ตลาด
หมอ,ข่าว
แมว,สถานที่
หัวหน้า,นโยบาย
นักศึกษา,อาชีพ
ผู้นำ,ต่างประเทศ
คณะกรมการ,ปาก
นก,เนื้อ
พยาบาล,ผ้า
พืช,หมู่บ้าน
ช้าง,ศิลปะ
หนู,แสง
ตำรวจ,ไฟ
แพทย์,บุญ
ต้นไม้,เส้น
ผู้แต่ง,แก้ว
บุตร,ดนตรี
พนักงาน,แผ่นดิน
ข้าราชการ,ตำรา
ยาย,เหล็ก
มารดา,ถัง
ทายาท,อุตสาหกรรม
พระพุทธเจ้า,ที่ดิน
บรรพบุรุษ,สมบัติ
นักธุรกิจ,เสา
บัณฑิต,คลืน
ผู้ช่วย,เกาะ
ผู้อำนวยการ,ประตู
ลูก,แม่น้ำ
,โทรทัศน์
,ฝน
,ชา
,อุปกรณ์
,สถานี
,เทคโนโลยี
,สำนักงาน
,เสื้อ
,อาคาร
,หนังสือพิมพ์
,โรงงาน
,น้ำมัน
,บุหรี่
,โทรศัพท์
,รถยนต์
,กระดาษ
,เข็ม
,ประเทศ
